message,dispatch,response_time_minutes,priority,address,emergency_type
Uh oh. Something bad medical happening at the road.,ambulance x1,4,2,"9741 Oak Blvd, San Diego, CA",Medical
Uh oh. Something bad medical happening at the home.,ambulance x1; rescue unit x1,9,2,"1064 Oak Blvd, San Diego, CA",Medical
"Not sure what's going on, maybe medical? at home. Need someone here.",ambulance x1,9,2,"8523 Oak Blvd, San Diego, CA",Medical
??? crim3 h3r3,SWAT x1; police unit x2,11,2,"9455 4th Ave, San Diego, CA",Crime
"Not sure what's going on, maybe accident? at office. Need someone here.",ambulance x2; firetruck x1,5,2,"3219 Maple Ave, San Diego, CA",Accident
"Not sure what's going on, maybe medical? at beach. Need someone here.",ambulance x2,2,2,"7039 Ocean View Way, San Diego, CA",Medical
sos accident school send help,ambulance x1; police unit x1,6,3,"1712 Elm St, San Diego, CA",Accident
"Please send assistance to the beach. It's a accident emergency, looks severe.",ambulance x1; police unit x1,4,1,"4173 Oak Blvd, San Diego, CA",Accident
bad stuff at road fire,firetruck x1,4,3,"7012 Pine Rd, San Diego, CA",Fire
"crime problem at park, come quick.",police unit x1,6,2,"7360 Broadway, San Diego, CA",Crime
sos medical home send help,ambulance x1; rescue unit x1,7,3,"341 Maple Ave, San Diego, CA",Medical
"natural disaster problem at school, come quick.",rescue unit x2; firetruck x1,7,2,"6758 Mission St, San Diego, CA",Natural Disaster
bad stuff at office accident,ambulance x1; police unit x1,5,3,"2797 Ocean View Way, San Diego, CA",Accident
bad stuff at park medical,ambulance x2,3,3,"4773 Ocean View Way, San Diego, CA",Medical
Uh oh. Something bad hazard happening at the beach.,hazmat unit x1; firetruck x1,10,2,"2636 Oak Blvd, San Diego, CA",Hazard
"crime problem at office, come quick.",SWAT x1; police unit x2,9,2,"8983 Elm St, San Diego, CA",Crime
hlp hazard store,hazmat unit x1,9,2,"1031 Broadway, San Diego, CA",Hazard
medical?? school. hurry,ambulance x1,4,3,"9849 Maple Ave, San Diego, CA",Medical
"hazard problem at school, come quick.",hazmat unit x1; firetruck x1,10,2,"2064 4th Ave, San Diego, CA",Hazard
"Emergency! Fire at my road. Need help ASAP, address included.",firetruck x1,6,1,"1443 Ocean View Way, San Diego, CA",Fire
Uh oh. Something bad hazard happening at the road.,hazmat unit x1; firetruck x1,9,2,"4372 Oak Blvd, San Diego, CA",Hazard
??? hazard here,hazmat unit x1; firetruck x1,9,2,"2244 Cedar Ln, San Diego, CA",Hazard
"accident problem at store, come quick.",ambulance x1; police unit x1,10,2,"7608 4th Ave, San Diego, CA",Accident
"rescue problem at home, come quick.",rescue unit x1,6,2,"8388 Cedar Ln, San Diego, CA",Rescue
"fire problem at store, come quick.",firetruck x1,3,2,"6154 Cedar Ln, San Diego, CA",Fire
"Emergency! Fire at my park. Need help ASAP, address included.",firetruck x1; ladder truck x1,7,1,"5056 4th Ave, San Diego, CA",Fire
Uh oh. Something bad natural disaster happening at the beach.,rescue unit x2; firetruck x1,4,2,"9186 Cedar Ln, San Diego, CA",Natural Disaster
I need help immediately at the home. There's a serious hazard situation.,hazmat unit x1; firetruck x1,7,1,"1991 Maple Ave, San Diego, CA",Hazard
"hazard problem at road, come quick.",hazmat unit x1; firetruck x1,14,2,"4716 4th Ave, San Diego, CA",Hazard
bad stuff at beach fire,firetruck x1,4,3,"4425 Broadway, San Diego, CA",Fire
"accident problem at store, come quick.",ambulance x1; police unit x1,4,2,"7039 Cedar Ln, San Diego, CA",Accident
??? medical here,ambulance x1,6,2,"7339 Broadway, San Diego, CA",Medical
sos hazard park s3nd h3lp,hazmat unit x1,10,3,"2542 Broadway, San Diego, CA",Hazard
bad stuff at school medical,ambulance x1; rescue unit x1,9,3,"9152 Pine Rd, San Diego, CA",Medical
accident?? office. hurry,ambulance x2; firetruck x1,5,3,"6074 Elm St, San Diego, CA",Accident
Uh oh. Something bad crime happening at the office.,police unit x1,3,2,"1784 Sunset Dr, San Diego, CA",Crime
"Not sure what's going on, maybe natural disaster? at road. Need someone here.",rescue unit x2; firetruck x1,8,2,"3978 Pine Rd, San Diego, CA",Natural Disaster
hlpnaturaldisast3rschool,rescue unit x2; firetruck x1,6,2,"5542 Ocean View Way, San Diego, CA",Natural Disaster
Uh oh. Something bad natural disaster happening at the beach.,rescue unit x2; firetruck x1,7,2,"4471 Pine Rd, San Diego, CA",Natural Disaster
naturaldisast3r??b3ach.hurry,helicopter x1; rescue unit x2,3,3,"3744 Oak Blvd, San Diego, CA",Natural Disaster
"Not sure what's going on, maybe natural disaster? at park. Need someone here.",helicopter x1; rescue unit x2,6,2,"3828 Oak Blvd, San Diego, CA",Natural Disaster
"medical problem at beach, come quick.",ambulance x2,6,2,"5478 Cedar Ln, San Diego, CA",Medical
bad stuff at home natural disaster,helicopter x1; rescue unit x2,6,3,"8446 Ocean View Way, San Diego, CA",Natural Disaster
Uh oh. Something bad hazard happening at the school.,hazmat unit x1; firetruck x1,8,2,"552 Maple Ave, San Diego, CA",Hazard
"Emergency! Crime at my office. Need help ASAP, address included.",police unit x2,6,1,"726 Maple Ave, San Diego, CA",Crime
bad  stuff  at  park  rescue,helicopter x1; rescue unit x1,7,3,"8479 Maple Ave, San Diego, CA",Rescue
accident?? road. hurry,ambulance x2; firetruck x1,7,3,"827 Ocean View Way, San Diego, CA",Accident
"Emergency! Medical at my road. Need help ASAP, address included.",ambulance x1; rescue unit x1,4,1,"3328 Sunset Dr, San Diego, CA",Medical
Uh oh. Something bad accident happening at the home.,ambulance x2; firetruck x1,6,2,"5243 Maple Ave, San Diego, CA",Accident
Uh oh. Something bad hazard happening at the store.,hazmat unit x1; firetruck x1,13,2,"6791 Sunset Dr, San Diego, CA",Hazard
bad stuff at beach accident,ambulance x1; police unit x1,4,3,"3243 Ocean View Way, San Diego, CA",Accident
sos hazard park send help,hazmat unit x1,8,3,"9424 Cedar Ln, San Diego, CA",Hazard
"accident problem at road, come quick.",ambulance x2; firetruck x1,6,2,"4800 Oak Blvd, San Diego, CA",Accident
Uh oh. Something bad accident happening at the school.,ambulance x2; firetruck x1,7,2,"7718 Mission St, San Diego, CA",Accident
"accident problem at beach, come quick.",ambulance x2; firetruck x1,8,2,"2880 Maple Ave, San Diego, CA",Accident
sos crime road send help,SWAT x1; police unit x2,15,3,"5591 Maple Ave, San Diego, CA",Crime
"natural disaster problem at school, come quick.",helicopter x1; rescue unit x2,4,2,"3780 Oak Blvd, San Diego, CA",Natural Disaster
fire?? home. hurry,firetruck x1; ladder truck x1,6,3,"1293 Mission St, San Diego, CA",Fire
sos accident beach send help,ambulance x1; police unit x1,7,3,"6391 Mission St, San Diego, CA",Accident
"accident problem at office, come quick.",ambulance x1; police unit x1,5,2,"1846 Ocean View Way, San Diego, CA",Accident
sos fire office send help,firetruck x1; ladder truck x1,2,3,"7711 Elm St, San Diego, CA",Fire
rescue?? office. hurry,helicopter x1; rescue unit x1,7,3,"2284 Mission St, San Diego, CA",Rescue
Uh oh. Something bad hazard happening at the road.,hazmat unit x1; firetruck x1,7,2,"7351 4th Ave, San Diego, CA",Hazard
Uh oh. Something bad natural disaster happening at the beach.,helicopter x1; rescue unit x2,6,2,"9076 Mission St, San Diego, CA",Natural Disaster
bad stuff at beach fire,firetruck x2,6,3,"4346 Oak Blvd, San Diego, CA",Fire
"Not sure what's going on, maybe natural disaster? at beach. Need someone here.",helicopter x1; rescue unit x2,3,2,"4019 Cedar Ln, San Diego, CA",Natural Disaster
Uh oh. Something bad accident happening at the home.,ambulance x2; firetruck x1,7,2,"3941 Cedar Ln, San Diego, CA",Accident
"Emergency! Crime at my store. Need help ASAP, address included.",police unit x1,8,1,"2367 Pine Rd, San Diego, CA",Crime
sos fir3 park s3nd h3lp,firetruck x1,4,3,"6897 Ocean View Way, San Diego, CA",Fire
"Not sure what's going on, maybe crime? at road. Need someone here.",police unit x2,7,2,"1120 Oak Blvd, San Diego, CA",Crime
"Not sure what's going on, maybe natural disaster? at park. Need someone here.",rescue unit x2; firetruck x1,13,2,"9532 Ocean View Way, San Diego, CA",Natural Disaster
"Not sure what's going on, maybe accident? at home. Need someone here.",ambulance x2; firetruck x1,8,2,"6489 Ocean View Way, San Diego, CA",Accident
Uh oh. Something bad rescue happening at the beach.,rescue unit x1,7,2,"8099 Oak Blvd, San Diego, CA",Rescue
bad stuff at park crime,police unit x1,7,3,"6471 Sunset Dr, San Diego, CA",Crime
bad stuff at beach hazard,hazmat unit x1,9,3,"7757 Pine Rd, San Diego, CA",Hazard
rescue?? road. hurry,helicopter x1; rescue unit x1,6,3,"9797 4th Ave, San Diego, CA",Rescue
I need help immediately at the home. There's a serious hazard situation.,hazmat unit x1; firetruck x1,6,1,"2323 Mission St, San Diego, CA",Hazard
"Not sure what's going on, maybe fire? at home. Need someone here.",firetruck x2,2,2,"5463 Oak Blvd, San Diego, CA",Fire
bad stuff at store accident,ambulance x2; firetruck x1,8,3,"4658 Ocean View Way, San Diego, CA",Accident
"crime problem at school, come quick.",police unit x2,3,2,"417 Broadway, San Diego, CA",Crime
medical?? store. hurry,ambulance x1; rescue unit x1,7,3,"1224 Elm St, San Diego, CA",Medical
natural disaster?? home. hurry,rescue unit x2; firetruck x1,6,3,"433 4th Ave, San Diego, CA",Natural Disaster
"fire problem at office, come quick.",firetruck x2,4,2,"1974 4th Ave, San Diego, CA",Fire
"Emergency! Fire at my park. Need help ASAP, address included.",firetruck x2,7,1,"6143 Pine Rd, San Diego, CA",Fire
plz  r3scu3  road  fast,rescue unit x1,6,2,"5196 Maple Ave, San Diego, CA",Rescue
bad stuff at home rescue,helicopter x1; rescue unit x1,7,3,"6598 Oak Blvd, San Diego, CA",Rescue
sos medical road send help,ambulance x1; rescue unit x1,5,3,"4078 Maple Ave, San Diego, CA",Medical
"Not sure what's going on, maybe hazard? at school. Need someone here.",hazmat unit x1,11,2,"9372 Elm St, San Diego, CA",Hazard
bad  stuff  at  road  crime,police unit x1,5,3,"8389 Sunset Dr, San Diego, CA",Crime
bad stuff at school medical,ambulance x2,4,3,"1829 Ocean View Way, San Diego, CA",Medical
"Please send assistance to the beach. It's a crime emergency, looks severe.",SWAT x1; police unit x2,10,1,"2606 Ocean View Way, San Diego, CA",Crime
sos  fire  beach  send  help,firetruck x1; ladder truck x1,7,3,"8917 Mission St, San Diego, CA",Fire
"Emergency! Accident at my park. Need help ASAP, address included.",ambulance x2; firetruck x1,8,1,"5380 Oak Blvd, San Diego, CA",Accident
???naturaldisast3rh3r3,helicopter x1; rescue unit x2,5,2,"9436 4th Ave, San Diego, CA",Natural Disaster
"Please send assistance to the park. It's a hazard emergency, looks severe.",hazmat unit x1,8,1,"8198 Sunset Dr, San Diego, CA",Hazard
"fire problem at park, come quick.",firetruck x2,7,2,"4332 Sunset Dr, San Diego, CA",Fire
sos crime road send help,police unit x2,5,3,"9206 Elm St, San Diego, CA",Crime
hlp rescue office,helicopter x1; rescue unit x1,3,2,"9196 Oak Blvd, San Diego, CA",Rescue
sos hazard park send help,hazmat unit x1; firetruck x1,7,3,"7442 Elm St, San Diego, CA",Hazard
I need help immediately at the store. There's a serious medical situation.,ambulance x2,3,1,"4086 Cedar Ln, San Diego, CA",Medical
bad stuff at road hazard,hazmat unit x1; firetruck x1,10,3,"9168 Broadway, San Diego, CA",Hazard
"Emergency! Crime at my park. Need help ASAP, address included.",SWAT x1; police unit x2,7,1,"5519 Sunset Dr, San Diego, CA",Crime
"Please send assistance to the park. It's a hazard emergency, looks severe.",hazmat unit x1; firetruck x1,10,1,"4218 Oak Blvd, San Diego, CA",Hazard
medical?? beach. hurry,ambulance x2,6,3,"2058 Broadway, San Diego, CA",Medical
"natural disaster problem at beach, come quick.",rescue unit x2; firetruck x1,4,2,"3645 Mission St, San Diego, CA",Natural Disaster
Uh oh. Something bad crime happening at the beach.,SWAT x1; police unit x2,9,2,"9877 Cedar Ln, San Diego, CA",Crime
"medical problem at school, come quick.",ambulance x2,7,2,"3827 Sunset Dr, San Diego, CA",Medical
I need help immediately at the store. There's a serious fire situation.,firetruck x1; ladder truck x1,3,1,"8851 Pine Rd, San Diego, CA",Fire
I need help immediately at the home. There's a serious crime situation.,SWAT x1; police unit x2,6,1,"4886 Pine Rd, San Diego, CA",Crime
"Not sure what's going on, maybe hazard? at school. Need someone here.",hazmat unit x1,11,2,"300 4th Ave, San Diego, CA",Hazard
"Not sure what's going on, maybe crime? at park. Need someone here.",police unit x2,4,2,"5682 Pine Rd, San Diego, CA",Crime
bad stuff at store medical,ambulance x1,5,3,"1170 Ocean View Way, San Diego, CA",Medical
sos accident home send help,ambulance x1; police unit x1,7,3,"2585 Pine Rd, San Diego, CA",Accident
"Not sure what's going on, maybe natural disaster? at road. Need someone here.",rescue unit x2; firetruck x1,4,2,"4166 Maple Ave, San Diego, CA",Natural Disaster
"Not sure what's going on, maybe rescue? at school. Need someone here.",rescue unit x1,6,2,"8661 Ocean View Way, San Diego, CA",Rescue
"Not sure what's going on, maybe accident? at park. Need someone here.",ambulance x2; firetruck x1,7,2,"5103 4th Ave, San Diego, CA",Accident
sos rescue home send help,rescue unit x1,4,3,"3504 Oak Blvd, San Diego, CA",Rescue
"crime problem at beach, come quick.",police unit x1,7,2,"4029 Pine Rd, San Diego, CA",Crime
"rescue problem at home, come quick.",rescue unit x1,6,2,"6793 Mission St, San Diego, CA",Rescue
"Please send assistance to the road. It's a hazard emergency, looks severe.",hazmat unit x1; firetruck x1,8,1,"634 Oak Blvd, San Diego, CA",Hazard
"Not sure what's going on, maybe crime? at beach. Need someone here.",SWAT x1; police unit x2,9,2,"7538 Maple Ave, San Diego, CA",Crime
bad stuff at office hazard,hazmat unit x1,12,3,"7065 Maple Ave, San Diego, CA",Hazard
Uh oh. Something bad rescue happening at the office.,rescue unit x1,7,2,"4452 Pine Rd, San Diego, CA",Rescue
I need help immediately at the home. There's a serious medical situation.,ambulance x2,6,1,"9849 4th Ave, San Diego, CA",Medical
"crime problem at park, come quick.",police unit x2,5,2,"5082 Ocean View Way, San Diego, CA",Crime
Uh oh. Something bad crime happening at the road.,police unit x2,5,2,"7272 Maple Ave, San Diego, CA",Crime
"Not sure what's going on, maybe rescue? at home. Need someone here.",helicopter x1; rescue unit x1,7,2,"9991 Cedar Ln, San Diego, CA",Rescue
medical?? home. hurry,ambulance x1; rescue unit x1,10,3,"9524 4th Ave, San Diego, CA",Medical
sosm3dicalschools3ndh3lp,ambulance x1,3,3,"7808 Broadway, San Diego, CA",Medical
"Please send assistance to the park. It's a hazard emergency, looks severe.",hazmat unit x1,11,1,"9690 Ocean View Way, San Diego, CA",Hazard
"Not sure what's going on, maybe hazard? at school. Need someone here.",hazmat unit x1,11,2,"7800 Sunset Dr, San Diego, CA",Hazard
"Not sure what's going on, maybe accident? at store. Need someone here.",ambulance x1; police unit x1,4,2,"2734 Sunset Dr, San Diego, CA",Accident
"Not sure what's going on, maybe accident? at beach. Need someone here.",ambulance x2; firetruck x1,4,2,"6661 Broadway, San Diego, CA",Accident
"medical problem at park, come quick.",ambulance x2,5,2,"4235 Sunset Dr, San Diego, CA",Medical
bad stuff at school medical,ambulance x1; rescue unit x1,5,3,"118 Broadway, San Diego, CA",Medical
"accident problem at park, come quick.",ambulance x1; police unit x1,4,2,"8594 Sunset Dr, San Diego, CA",Accident
bad stuff at school rescue,helicopter x1; rescue unit x1,6,3,"945 Oak Blvd, San Diego, CA",Rescue
"crime problem at road, come quick.",police unit x2,4,2,"7278 Mission St, San Diego, CA",Crime
sos medical home send help,ambulance x1; rescue unit x1,6,3,"4020 Pine Rd, San Diego, CA",Medical
hlp  crime  road,police unit x1,3,2,"3781 Maple Ave, San Diego, CA",Crime
sos accident home send help,ambulance x1; police unit x1,5,3,"8265 Cedar Ln, San Diego, CA",Accident
"Not sure what's going on, maybe rescue? at beach. Need someone here.",helicopter x1; rescue unit x1,8,2,"8005 Mission St, San Diego, CA",Rescue
Uh oh. Something bad fire happening at the park.,firetruck x1,5,2,"6384 Oak Blvd, San Diego, CA",Fire
Uh oh. Something bad rescue happening at the road.,rescue unit x1,3,2,"1243 Cedar Ln, San Diego, CA",Rescue
"Not sure what's going on, maybe natural disaster? at school. Need someone here.",helicopter x1; rescue unit x2,5,2,"8418 Cedar Ln, San Diego, CA",Natural Disaster
"Not sure what's going on, maybe natural disaster? at home. Need someone here.",helicopter x1; rescue unit x2,4,2,"9716 4th Ave, San Diego, CA",Natural Disaster
"hazard problem at park, come quick.",hazmat unit x1; firetruck x1,13,2,"8924 Mission St, San Diego, CA",Hazard
Uh oh. Something bad crime happening at the store.,SWAT x1; police unit x2,10,2,"6280 Mission St, San Diego, CA",Crime
"crime problem at school, come quick.",SWAT x1; police unit x2,9,2,"4012 4th Ave, San Diego, CA",Crime
"Not sure what's going on, maybe accident? at office. Need someone here.",ambulance x1; police unit x1,6,2,"5313 Mission St, San Diego, CA",Accident
"Not sure what's going on, maybe hazard? at school. Need someone here.",hazmat unit x1; firetruck x1,8,2,"2592 Mission St, San Diego, CA",Hazard
Uh oh. Something bad medical happening at the office.,ambulance x1; rescue unit x1,6,2,"5539 Maple Ave, San Diego, CA",Medical
"Please send assistance to the school. It's a natural disaster emergency, looks severe.",rescue unit x2; firetruck x1,7,1,"8717 Mission St, San Diego, CA",Natural Disaster
I need help immediately at the beach. There's a serious medical situation.,ambulance x2,4,1,"2629 Maple Ave, San Diego, CA",Medical
"Not sure what's going on, maybe accident? at school. Need someone here.",ambulance x2; firetruck x1,6,2,"6612 Maple Ave, San Diego, CA",Accident
"Emergency! Natural Disaster at my store. Need help ASAP, address included.",helicopter x1; rescue unit x2,4,1,"5288 Mission St, San Diego, CA",Natural Disaster
natural disaster?? road. hurry,rescue unit x2; firetruck x1,4,3,"3946 Cedar Ln, San Diego, CA",Natural Disaster
hlpfir3b3ach,firetruck x1; ladder truck x1,4,2,"1746 Mission St, San Diego, CA",Fire
bad stuff at beach fire,firetruck x1,6,3,"853 Sunset Dr, San Diego, CA",Fire
"Not sure what's going on, maybe natural disaster? at home. Need someone here.",helicopter x1; rescue unit x2,9,2,"6241 Ocean View Way, San Diego, CA",Natural Disaster
Uh oh. Something bad fire happening at the office.,firetruck x2,4,2,"9372 Pine Rd, San Diego, CA",Fire
fire?? office. hurry,firetruck x1; ladder truck x1,6,3,"6367 4th Ave, San Diego, CA",Fire
bad  stuff  at  offic3  hazard,hazmat unit x1,13,3,"7655 Cedar Ln, San Diego, CA",Hazard
"Emergency! Accident at my store. Need help ASAP, address included.",ambulance x1; police unit x1,5,1,"7722 Cedar Ln, San Diego, CA",Accident
hlp hazard road,hazmat unit x1; firetruck x1,12,2,"9726 Cedar Ln, San Diego, CA",Hazard
Uh oh. Something bad hazard happening at the park.,hazmat unit x1; firetruck x1,12,2,"7584 Cedar Ln, San Diego, CA",Hazard
??? fir3 h3r3,firetruck x2,4,2,"9470 Sunset Dr, San Diego, CA",Fire
Uh oh. Something bad rescue happening at the store.,helicopter x1; rescue unit x1,6,2,"459 Ocean View Way, San Diego, CA",Rescue
sos crime home send help,SWAT x1; police unit x2,11,3,"903 4th Ave, San Diego, CA",Crime
bad stuff at park hazard,hazmat unit x1,9,3,"3215 4th Ave, San Diego, CA",Hazard
Uh oh. Something bad crime happening at the beach.,SWAT x1; police unit x2,11,2,"2340 Maple Ave, San Diego, CA",Crime
"hazard problem at beach, come quick.",hazmat unit x1; firetruck x1,7,2,"7322 Elm St, San Diego, CA",Hazard
plz r3scu3 stor3 fast,helicopter x1; rescue unit x1,8,2,"5452 Ocean View Way, San Diego, CA",Rescue
"fire problem at office, come quick.",firetruck x1; ladder truck x1,4,2,"6094 Broadway, San Diego, CA",Fire
I need help immediately at the store. There's a serious rescue situation.,helicopter x1; rescue unit x1,6,1,"7994 Cedar Ln, San Diego, CA",Rescue
"Please send assistance to the school. It's a hazard emergency, looks severe.",hazmat unit x1,10,1,"7773 Maple Ave, San Diego, CA",Hazard
I need help immediately at the school. There's a serious fire situation.,firetruck x1; ladder truck x1,9,1,"6611 Broadway, San Diego, CA",Fire
bad stuff at home crime,police unit x1,7,3,"4432 Broadway, San Diego, CA",Crime
"Not sure what's going on, maybe medical? at park. Need someone here.",ambulance x1; rescue unit x1,8,2,"4395 4th Ave, San Diego, CA",Medical
sos accident school send help,ambulance x2; firetruck x1,7,3,"1875 Oak Blvd, San Diego, CA",Accident
"Emergency! Accident at my home. Need help ASAP, address included.",ambulance x2; firetruck x1,2,1,"3726 Maple Ave, San Diego, CA",Accident
bad  stuff  at  school  hazard,hazmat unit x1; firetruck x1,5,3,"2011 Pine Rd, San Diego, CA",Hazard
bad stuff at home medical,ambulance x2,7,3,"2002 Maple Ave, San Diego, CA",Medical
I need help immediately at the road. There's a serious fire situation.,firetruck x2,6,1,"7532 Sunset Dr, San Diego, CA",Fire
"Emergency! Hazard at my beach. Need help ASAP, address included.",hazmat unit x1; firetruck x1,7,1,"9722 Pine Rd, San Diego, CA",Hazard
hlpaccidentbeach,ambulance x2; firetruck x1,5,2,"636 Sunset Dr, San Diego, CA",Accident
"Not sure what's going on, maybe fire? at park. Need someone here.",firetruck x1,5,2,"6042 Maple Ave, San Diego, CA",Fire
plz  hazard  store  fast,hazmat unit x1,9,2,"6623 Cedar Ln, San Diego, CA",Hazard
bad stuff at hom3 fir3,firetruck x1; ladder truck x1,7,3,"9883 Elm St, San Diego, CA",Fire
"Not sure what's going on, maybe medical? at school. Need someone here.",ambulance x1,4,2,"2163 4th Ave, San Diego, CA",Medical
sos fire home send help,firetruck x1,3,3,"9707 Oak Blvd, San Diego, CA",Fire
"natural disaster problem at school, come quick.",helicopter x1; rescue unit x2,7,2,"2517 4th Ave, San Diego, CA",Natural Disaster
medical?? store. hurry,ambulance x1,7,3,"8950 Cedar Ln, San Diego, CA",Medical
natural disaster?? office. hurry,rescue unit x2; firetruck x1,4,3,"2259 Elm St, San Diego, CA",Natural Disaster
"crime problem at school, come quick.",SWAT x1; police unit x2,7,2,"5404 Elm St, San Diego, CA",Crime
fire?? store. hurry,firetruck x1,3,3,"6997 Broadway, San Diego, CA",Fire
I need help immediately at the beach. There's a serious medical situation.,ambulance x2,6,1,"7444 Sunset Dr, San Diego, CA",Medical
rescue?? road. hurry,helicopter x1; rescue unit x1,6,3,"8354 Oak Blvd, San Diego, CA",Rescue
Uh oh. Something bad rescue happening at the home.,helicopter x1; rescue unit x1,5,2,"7604 Elm St, San Diego, CA",Rescue
"Not sure what's going on, maybe medical? at park. Need someone here.",ambulance x2,7,2,"1868 Mission St, San Diego, CA",Medical
hazard?? park. hurry,hazmat unit x1,8,3,"5377 4th Ave, San Diego, CA",Hazard
fire?? home. hurry,firetruck x2,1,3,"9690 Broadway, San Diego, CA",Fire
???  hazard  here,hazmat unit x1; firetruck x1,12,2,"8382 4th Ave, San Diego, CA",Hazard
"Emergency! Accident at my home. Need help ASAP, address included.",ambulance x1; police unit x1,5,1,"9133 Oak Blvd, San Diego, CA",Accident
"accident problem at park, come quick.",ambulance x2; firetruck x1,6,2,"5653 Mission St, San Diego, CA",Accident
"Emergency! Accident at my park. Need help ASAP, address included.",ambulance x1; police unit x1,8,1,"5220 Ocean View Way, San Diego, CA",Accident
"Not sure what's going on, maybe crime? at beach. Need someone here.",police unit x2,4,2,"2600 Mission St, San Diego, CA",Crime
hlp medical home,ambulance x1,6,2,"6205 Pine Rd, San Diego, CA",Medical
sos rescue home send help,helicopter x1; rescue unit x1,3,3,"2102 Ocean View Way, San Diego, CA",Rescue
sos crime school send help,police unit x2,3,3,"942 Cedar Ln, San Diego, CA",Crime
"Please send assistance to the store. It's a rescue emergency, looks severe.",rescue unit x1,7,1,"9568 Broadway, San Diego, CA",Rescue
Uh oh. Something bad fire happening at the office.,firetruck x2,8,2,"3774 Maple Ave, San Diego, CA",Fire
Uh oh. Something bad crime happening at the school.,police unit x2,4,2,"1982 Cedar Ln, San Diego, CA",Crime
"Please send assistance to the office. It's a rescue emergency, looks severe.",rescue unit x1,7,1,"4481 Elm St, San Diego, CA",Rescue
